"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Comparative Analysis of BERT-based Classifiers using Semantics of Hotel Reviews","N. Boparai; H. Aggarwal; R. Rani","Dept. of Computer Science & Engineering, Punjabi University, Patiala, India; Dept. of Computer Science & Engineering, Punjabi University, Patiala, India; Dept. of Computer Science & Engineering, Thapar Institute of Engineering & Technology, Patiala, India","2025 International Conference on Electronics, AI and Computing (EAIC)","11 Aug 2025","2025","","","1","8","This paper analyses the performance of various classifiers for the extracted fuzzy semantics of hotel reviews available on Tripadvisor. The classifiers rely upon the hidden semantics of reviews which is more insightful representation of user’s thoughts in comparison to ambiguous numerical ratings on a fixed scale. The classifiers are made to learn and predict the user ratings as a function of sentiment score for extracted features. The BERT model is optimized to generate encodings for the classification task. The classification problem is defined as either multiclass or binary classification according to the number of reviews for a particular user rating. The performance of different classifiers namely Logistic Regression, Neural Network, Random Forest, Gradient Boosting and AdaBoost is tested for the BERT based embeddings of the fuzzy semantics derived from the hotel reviews. Further, these classifiers are fine-tuned using hyperparameter tuning to learn the optimal parameters for the prediction of user ratings from the semantics of reviews. The accuracy achieved with single model of logistic regression and other ensemble models is demonstrated in this study. The proposed learning of the classifiers can be utilized to generate muti-criteria recommendations both for users and hotel stakeholders.","","979-8-3315-5358-6","10.1109/EAIC66483.2025.11101531","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11101531","Hotel reviews;Semantics;Muti-criteria;BERT;Classifiers","Logistic regression;Accuracy;Reviews;Semantics;Bidirectional control;Feature extraction;Boosting;Encoding;Random forests;Tuning","","","","17","IEEE","11 Aug 2025","5-7 June 2025","5-7 June 2025","IEEE","IEEE Conferences"
"Integrated ML Approach for Fake News Detection","A. Muralidharan; M. Aji; R. J. Jacob; S. Cherukat; P. C. V","Department of Artificial Intelligence and Data Science, Muthoot Institute of Technology and Science, Kochi, Kerala, India; Department of Artificial Intelligence and Data Science, Muthoot Institute of Technology and Science, Kochi, Kerala, India; Department of Artificial Intelligence and Data Science, Muthoot Institute of Technology and Science, Kochi, Kerala, India; Department of Artificial Intelligence and Data Science, Muthoot Institute of Technology and Science, Kochi, Kerala, India; Department of Artificial Intelligence and Data Science, Muthoot Institute of Technology and Science, Kochi, Kerala, India",2024 IEEE 21st India Council International Conference (INDICON),"21 Apr 2025","2024","","","1","6","The unchecked spreading of news supported by social media and other forms of mass communication has led to a spike in the spread of Fake News and False Information. The effects of fake news can be far-reaching and impactful. Sometimes we can easily identify fake news, but the majority of the time it is hard to distinguish from valid news. This emphasizes the need for accurate detection methods for fake news. To aid with fake news detection, this paper proposes a novel system for detecting fake News with the help of a machine learning model. This method extracts textual features and utilizes advanced machine learning algorithms for fake news detection. We used term frequency-inverse document frequency (TF-IDF) vectorizer and implemented the Passive Aggressive Classifier alongside it. Experimental results of proposed model shows a better rate for precision & recall with an accuracy of 99 %. F1 scores for fake and true news obtained are 99% and 98% respectively. The results demonstrate the effectiveness of this approach in accurately detecting fake news and distinguishing it from true news.","2325-9418","979-8-3503-9128-2","10.1109/INDICON63790.2024.10958473","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10958473","Fake News;Machine Learning;Ensemble Method;Passive Aggressive Classifier;TF-IDF","Uniform resource locators;Accuracy;Machine learning algorithms;Social networking (online);Predictive models;Feature extraction;Real-time systems;Reliability;Fake news;Monitoring","","","","19","IEEE","21 Apr 2025","19-21 Dec. 2024","19-21 Dec. 2024","IEEE","IEEE Conferences"
"Relation between the amount of Sarcasm and the Ratings of English TV shows","C. Dani; A. Gholap; A. Sharma; A. Jadhav","Symbiosis Centre for Information Technology, Symbiosis International Deemed University, Pune, India; Symbiosis Centre for Information Technology, Symbiosis International Deemed University, Pune, India; Symbiosis Centre for Information Technology, Symbiosis International Deemed University, Pune, India; Symbiosis Centre for Information Technology, Symbiosis International Deemed University, Pune, India","2024 International Conference on Intelligent and Innovative Technologies in Computing, Electrical and Electronics (IITCEE)","20 Mar 2024","2024","","","1","5","Sarcasm detection is one of the most challenging parts of Natural Language Processing (NLP) since it involves understanding the context in which a particular text is delivered. In recent times there has been much advancement in Machine Learning (ML) technologies that can be leveraged to detect sarcasm in a text. Popular English TV shows of the genre of Situational Comedy involve sarcasm or satire in their dialogues. This study proposes that the ratings of the Popular English TV shows are dependent on the sarcasm content in that show and thus incorporates a classifier model first to detect whether sarcasm is present in the dialogue and then proceeds with a statistical test to determine whether there exists a relationship between sarcasm and the ratings provided to the show. This work can provide value to various content platforms for their recommendation systems as well as give insights to content creators for staying competitive in the business. The results of the statistical test are interpreted, and a scope for further investigation is discussed.","","979-8-3503-0641-5","10.1109/IITCEE59897.2024.10467521","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10467521","Sarcasm Detection;Machine Learning;English TV Show;NLP","Support vector machines;Training;Logistic regression;TV;Statistical analysis;Buildings;Feature extraction","","","","20","IEEE","20 Mar 2024","24-25 Jan. 2024","24-25 Jan. 2024","IEEE","IEEE Conferences"
"Web Services Classification Based on Wide & Bi-LSTM Model","H. Ye; B. Cao; Z. Peng; T. Chen; Y. Wen; J. Liu","School of Computer Science and Engineering, Hunan University of Science and Technology, Xiangtan, China; School of Computer Science and Engineering, Hunan University of Science and Technology, Xiangtan, China; School of Computer Science and Engineering, Hunan University of Science and Technology, Xiangtan, China; School of Computer Science and Engineering, Hunan University of Science and Technology, Xiangtan, China; School of Computer Science and Engineering, Hunan University of Science and Technology, Xiangtan, China; School of Computer Science and Engineering, Hunan University of Science and Technology, Xiangtan, China",IEEE Access,"11 Apr 2019","2019","7","","43697","43706","With the rapid growth of Web services on the Internet, it becomes a great challenge for Web services discovery. Classifying Web services with similar functions is an effective method for service discovery and management. However, the functional description documents of Web services usually are short in their length, with sparse features and less information, which makes most topic models unable to model the short text well, consequently affecting the Web service classification. To solve this problem, a Web service classification method based on Wide & Bi-LSTM model is proposed in this paper. In this method, first, all the discrete features in the description documents of Web services are combined to perform the breadth prediction of Web service category by exploiting the wide learning model. Second, the word order and context information of the words in the description documents of Web services are mined by using the Bi-LSTM model to perform the depth prediction of the Web service category. Third, it uses the linear regression algorithm to integrate the breadth and depth prediction results of Web service categories as the final result of the service classification. Finally, compared with six Web service classification methods based on TF-IDF, LDA, WE-LDA, LSTM, Wide&Deep, and Bi-LSTM, respectively, the experimental results show that our approach achieves a better performance in the accuracy of Web service classification.","2169-3536","","10.1109/ACCESS.2019.2907546","National Natural Science Foundation of China(grant numbers:61873316,61872139,61702181); Natural Science Foundation of Hunan Province(grant numbers:2017JJ2098,2018JJ2136,2018JJ2139); Educational Commission of Hunan Province of China(grant numbers:17C0642); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8674750","Wide learning model;Bi-LSTM model;linear regression;web service classification","Web services;Predictive models;Context modeling;Feature extraction;Training;Data mining;Semantics","","56","","31","OAPA","26 Mar 2019","2019","","IEEE","IEEE Journals"
"NLP and Machine Learning Techniques for Detecting Insulting Comments on Social Networking Platforms","H. Kumar Sharma; K. Kshitiz; Shailendra","University of Petroleum and Energy Studies, Dehradun, Uttarakhand, IN; University of Petroleum and Energy Studies, Dehradun, Uttarakhand, IN; University of Petroleum & Energy Studies, School of Computer Science, Dehradun, India",2018 International Conference on Advances in Computing and Communication Engineering (ICACCE),"26 Aug 2018","2018","","","265","272","In the era of social media and networking, the usage of bad words and aggressive words has been increased significantly. The young population is playing a major role in it. Cyberbullying affects more than half of the young population using social media. Insults in social media websites create negative interactions within the network. These remarks build up a culture of disrespect in cyberspace. Algorithms and tools used to understand and mitigate it are mostly inactive. Also, current implementations on insult detection using machine learning and natural language processing have very low recall rates. In short, the paper involves determining ways to identify bullying in text by analyzing and experimenting with different methods to find the feasible way of classifying such comments. We proposed a efficient algorithm to identify the bullying test and aggressive comments and analyses these comments to check the validity. NLP and Machine learning is used for analyzing the social comment and identified the aggressive effect of an individual or a group. An effective classifier acts as the core component in a final prototype system that can detect cyberbullying on social media.","","978-1-5386-4485-0","10.1109/ICACCE.2018.8441728","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8441728","Cyberbullying;Natural Language Processing;Machine Learning","Twitter;Machine learning;YouTube;Feature extraction;Natural language processing;Videos","","25","","20","IEEE","26 Aug 2018","22-23 June 2018","22-23 June 2018","IEEE","IEEE Conferences"
"Machine Learning Algorithms and Frameworks in Ransomware Detection","D. Smith; S. Khorsandroo; K. Roy","Department of Computer Science, North Carolina A&T State University, Greensboro, NC, USA; Department of Computer Science, North Carolina A&T State University, Greensboro, NC, USA; Department of Computer Science, North Carolina A&T State University, Greensboro, NC, USA",IEEE Access,"15 Nov 2022","2022","10","","117597","117610","Ransomware has been one of the biggest cyber threats against consumers in recent years. It can leverage various attack vectors while it also evolves in terms of finding more innovative ways to invade different cyber security systems. There have been many efforts to detect ransomware within the workforce and academia leveraging machine learning algorithms, which has shown promising results. Accordingly, there is a considerably large body of literature addressing various solutions on how ransomware threats can be detected and mitigated. Such large and rapidly growing scientific and technical materials start to make it difficult in knowing the actual ML algorithm(s) being used. Hence, the aim of this paper is to give insight about ransomware detection frameworks and those ML algorithms which are typically being used to extract ever-evolving characteristics of ransomware. In addition, this study will provide the cyber security community with a detailed analysis of those frameworks. This will be augmented with information such as datasets being used along with the challenges that each framework may be faced with in detecting a wide variety of ransomware accurately. To summarize, this paper delivers a comparative study which can be used by peers as a reference for future work in ransomware detection.","2169-3536","","10.1109/ACCESS.2022.3218779","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9934917","Artificial Neural Network (ANN);cyber security;deep convolutional neural network (DCNN);deep neural network (DNN);Hardware Performance Counter (HPC);Long Short Term Memory (LSTM);machine learning (ML);ransomware;Recurrent Neural Network (RNN);Sum of Product (SOP);Support Vector Machine (SVM);Term Frequency and Inverse Document Frequency (TF-IDF);The Onion Routing (TOR)","Ransomware;Operating systems;Computer security;Encryption;Codes;Browsers;Phishing;Machine learning","","24","","66","CCBYNCND","1 Nov 2022","2022","","IEEE","IEEE Journals"
"Machine learning approach for predicting end price of online auction","M. R. Khadge; M. V. Kulkarni","Vishwakarma Institute of Technology, Pune, Maharashtra, IN; Dept of Computer Science and Engineering, Vishwakarma Institute of Technology, Pune, India",2016 International Conference on Inventive Computation Technologies (ICICT),"26 Jan 2017","2016","3","","1","5","An online auction is an auction held over the internet. In today's era of the internet, economies have changed the way than they were a few years back. The scope and reach of online auctions have been propelled by internet to the prominent level because online auctions break down and remove the physical limitations of traditional auctions such as geography, presence, time, space, etc. As online auction has become one of the fastest growing modes of online commerce transaction, sellers and buyers have started preferring to go online for purchasing and selling products respectively. As eBay has been the leading online auction marketplace for nearly two decades, the proposed system collected huge auction data from eBay and machine learning algorithms are used to predict end price of auction items. The proposed system is trained with 70% of dataset and 30% of dataset is used for testing. The proposed system used Naive Bayes which gives 99.33% accuracy in classification of whether the item will sell or not and kernel mapping SVM gives 96.3% accuracy for predicting whether an item maximize profit or not.","","978-1-5090-1285-5","10.1109/INVENTIVE.2016.7830232","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7830232","Machine learning;Support Vector Machine(SVM);Naive Bayes(NB);Uniform Prior Naive Bayes(UPNB);k-Nearest Neighbour(k-NN)","Support vector machines;Prediction algorithms;Internet;Feature extraction;Machine learning algorithms;Decision trees;Clustering algorithms","","8","","15","IEEE","26 Jan 2017","26-27 Aug. 2016","26-27 Aug. 2016","IEEE","IEEE Conferences"
"Comparing Deep Neural Networks and Machine Learning for Detecting Malicious Domain Name Registrations","F. Çolhak; M. İ. Ecevit; H. Dağ; R. Creutzburg","CCIP, Center for Cyber Security and Critical Infrastructure Protection, Kadir Has University, Istanbul, Turkey; CCIP, Center for Cyber Security and Critical Infrastructure Protection, Kadir Has University, Istanbul, Turkey; CCIP, Center for Cyber Security and Critical Infrastructure Protection, Kadir Has University, Istanbul, Turkey; SRH Berlin University of Applied Technology, Berlin School of Technology, Berlin, Germany",2024 IEEE International Conference on Omni-layer Intelligent Systems (COINS),"15 Aug 2024","2024","","","1","4","This study highlights the effectiveness of deep neural network (DNN) models, particularly those integrating natural language processing (NLP) and multilayer perceptron (MLP) techniques, in detecting malicious domain registrations compared to traditional machine learning (ML) approaches. The integrated DNN models significantly outperform traditional ML models. Notably, DNN models that incorporate both textual and numeric features demonstrate enhanced detection capabilities. The utilized Canine + MLP model achieves 85.81% accuracy and an 86.46% Fl-score on the MTLP Dataset. While traditional ML models offer advantages such as faster training times and smaller model sizes, their performance generally falls short compared to DNN models. This study underscores the trade-offs between computational efficiency and detection accuracy, suggesting that their superior performance often justifies the added costs despite higher resource requirements,","2996-5330","979-8-3503-4959-7","10.1109/COINS61597.2024.10622643","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10622643","Domain Name System (DNS);Cybersecurity;Machine Learning;Deep Neural Network (DNN);Natural Language Processing (NLP);Malicious Domain Detection","Training;Accuracy;Computational modeling;Artificial neural networks;Machine learning;Multilayer perceptrons;Feature extraction","","3","","29","IEEE","15 Aug 2024","29-31 July 2024","29-31 July 2024","IEEE","IEEE Conferences"
"Comparative analysis of features based machine learning approaches for phishing detection","A. K. Jain; B. B. Gupta","Department of Computer Engineering, National Institute of Technology, Kurukshetra, India; Department of Computer Engineering, National Institute of Technology, Kurukshetra, India",2016 3rd International Conference on Computing for Sustainable Global Development (INDIACom),"31 Oct 2016","2016","","","2125","2130","Machine learning based anti-phishing techniques are based on various features extracted from different sources. These features differentiate a phishing website from a legitimate one. Features are taken from various sources like URL, page content, search engine, digital certificate, website traffic, etc, of a website to detect it as a phishing or non-phishing. The websites are declared as phishing sites if the heuristic design of the websites matches with the predefined rules. The accuracy of the anti-phishing solution depends on features set, training data and machine learning algorithm. This paper presents a comprehensive analysis of Phishing attacks, their exploitation, some of the recent machine learning based approaches for phishing detection and their comparative study. It provides a better understanding of the phishing problem, current solution space in machine learning domain, and scope of future research to deal with Phishing attacks efficiently using machine learning based approaches.","","978-9-3805-4421-2","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7724641","Phishing;Machine learning;soft computing;neural networks;Support vector machine;Domain Name System","Uniform resource locators;Feature extraction;Machine learning algorithms;Data mining;Support vector machines;Electronic mail;Online banking","","2","","23","","31 Oct 2016","16-18 March 2016","16-18 March 2016","IEEE","IEEE Conferences"
"A Comparative Study of Neural Network for Text Classification","X. Peng","College of Mathematics, Jilin University, Jilin, China","2020 IEEE Conference on Telecommunications, Optics and Computer Science (TOCS)","8 Feb 2021","2020","","","214","218","This With the popularity of artificial intelligence in recent years, Natural Language Processing (NLP) technology has also become the focus of research. NLP technology's unique machine translation and text sentiment analysis functions can prevent people from experiencing poor language communication when travelling abroad and help artificial intelligence understand people's language better. This article has made corresponding practice and analysis for the critical requirement of “text classification” in NLP. In the experiment, we used the Internet Movie Database (IMDB) film review forum as the dataset. Recurrent Neural Network (RNN) and the corresponding variants of RNN (Long Short Term Memory (LSTM)) are analyzed and compared from the theoretical aspect. Moreover, we introduced a bidirectional mechanism to optimize RNN and reduce the influence of parameter changes on model training by comparing specific neural network structures. We found the benefits of LSTM in text classification applications compared with RNN and simple neural networks by comparing experiments. Besides, we explored the role of the bidirectional mechanism for RNN. Finally, we create a two-way LSTM model for text classification model and obtain the model training results indicating less overfitting and less loss than other structures.","","978-1-7281-8117-2","10.1109/TOCS50858.2020.9339702","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9339702","machine learning;neural network;natural language processing","Training;Sentiment analysis;Recurrent neural networks;Text categorization;Artificial intelligence;Long short term memory;Text processing","","2","","27","IEEE","8 Feb 2021","11-13 Dec. 2020","11-13 Dec. 2020","IEEE","IEEE Conferences"
