"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Urban Impervious Surface Extraction Based on the Integration of Remote Sensing Images and Social Media Data","Y. YU; W. Wei; J. Li; Y. Zhang","Guangdong Provincial Key Laboratory of Urbanization and Geo-simulation, Sun Yat-sen University, Guangzhou, China; ShaanXi Provincial Key Laboratory of Speech and Image Information Processing, Northwestern Polytechnical University, Xi’ an, China; Guangdong Provincial Key Laboratory of Urbanization and Geo-simulation, Sun Yat-sen University, Guangzhou, China; ShaanXi Provincial Key Laboratory of Speech and Image Information Processing, Northwestern Polytechnical University, Xi’ an, China",IGARSS 2018 - 2018 IEEE International Geoscience and Remote Sensing Symposium,"4 Nov 2018","2018","","","8861","8864","This paper presents an inspiring approach for accurate estimation of impervious surfaces, which exploits the strength of two kind of heterogeneous features, i.e., physical features derived from satellite images and social features derived from social media datasets, respectively. On the one hand, we use a morphological attribute profiles guided spectral mixture analysis model to achieve estimates of physical features. On the other hand, we mine the social features from textual information of social media datasets. Then, a multivariable linear regression model is conducted to obtain the impervious surfaces. Experiment results, conducted with multi-spectral images collected by LANDSAT-8 and social media datasets scraped from Sina Weibo of Guangzhou city, suggest that our approach could lead to reliable and good estimation of the imperviousness.","2153-7003","978-1-5386-7150-4","10.1109/IGARSS.2018.8518740","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8518740","Impervious surface;remote sensing;social media;TF-IDF","Remote sensing;Social network services;Feature extraction;Estimation;Urban areas;Surface morphology;Kernel","","","","20","IEEE","4 Nov 2018","22-27 July 2018","22-27 July 2018","IEEE","IEEE Conferences"
"A Deep Multi-Modal Framework for Cyberbullying Detection using Textual and Behavioural Features on Social Media","C. V. Ramana; S. V; N. Vullam; G. Prasanthi; A. Lakshmanarao; P. V. Rao","Department of CSE, Shri Vishnu Engineering College for Women, Bhimavaram, A.P, India; Department of Computing, Technologies SRM Institute of Science and Technology, Kattankulathur, Tamilnadu, India; Department of CSE, Chalapathi Institute of Engineering and Technology, Guntur, Andhra Pradesh, India; Department of CSE, SRKR Engineering College, Bhimavaram, A.P, India; Department of IT, Aditya University, Surampalem, India; Department of CSE, Gokaraju Rangaraju Institute of Engineering and Technology, Hyderabad, Telangana, India",2025 6th International Conference on IoT Based Control Networks and Intelligent Systems (ICICNIS),"1 Jan 2026","2025","","","1328","1334","Cyberbullying on social media continues to escalate due to the rapid growth of user-generated content and the ease of anonymous communication. Accurately identifying harmful behaviour remains challenging because of informal writing styles, overlapping aggression types, and highly imbalanced data distributions. This paper proposes a Deep Multi-Modal Framework for cyberbullying detection that fuses textual features with behavioural indicators to enhance classification performance. The textual branch employs a hybrid CNN– BiLSTM encoder, while behavioural cues such as sentiment polarity, punctuation intensity, and lexical aggression scores are processed through a dense projection network. Extensive experiments were conducted on a large-scale Kaggle cyberbullying dataset and evaluated against traditional machine-learning models, deep neural networks, and transformer-based architectures. Baseline machine-learning models achieved moderate results, with SVM reaching an accuracy of 0.84. Deep learning architectures improved performance substantially, with the CNN–BiLSTM model attaining 0.93 accuracy. Transformer-based models such as BERT and RoBERTa further enhanced performance, achieving accuracies of 0.94 and 0.95, respectively. The proposed multi-modal fusion model outperformed all baseline approaches, achieving an accuracy of 0.96, precision of 0.96, recall of 0.95, and an F1-score of 0.96. These findings demonstrate that integrating behavioural and semantic information yields a more robust and reliable strategy for cyberbullying detection on social media platforms.","","979-8-3315-1520-1","10.1109/ICICNIS66685.2025.11315743","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11315743","Cyberbullying Detection;Multi-Modal Learning;Deep Learning;Social Media Analysis;Behavioural Features","Accuracy;Semantics;Cyberbullying;Bidirectional long short term memory;Bidirectional control;Transformers;Feature extraction;Encoding;Reliability;Context modeling","","","","15","IEEE","1 Jan 2026","15-17 Dec. 2025","15-17 Dec. 2025","IEEE","IEEE Conferences"
"An Efficient Approach for Analyzing Reviews Using an Ensemble Technique","A. K. Dudla; M. Rao Atthuluri; P. S. Shaik; V. S. B. Yalamanchili","Department of Computer Science and Engineering, Lakireddy Bali Reddy College of Engineering, Myalavaram, India; Department of Computer Science and Engineering, Lakireddy Bali Reddy College of Engineering, Myalavaram, India; Department of Computer Science and Engineering, Lakireddy Bali Reddy College of Engineering, Myalavaram, India; Department of Computer Science and Engineering, Lakireddy Bali Reddy College of Engineering, Myalavaram, India",2023 9th International Conference on Advanced Computing and Communication Systems (ICACCS),"5 May 2023","2023","1","","1576","1581","Generally, many Businesses remain failures because of high competition and lack of profits this is because lack of knowledge in that particular area. If we see in Restaurants, e-store and many services have high competition, to make the service unique apart from this competition should know the knowledge and it should be collected from the customers commonly known as Reviews. So, for better understanding we are choosing the restaurant as a source in our project. For this we are designing the system which can collect the reviews from the customers for every item what they ate and then analyse them for producing detailed report for the owner. To resolve the problem of business loss in restaurant point of view we made a solution that is implemented as ""An Efficient Approach for Analysing Reviews Using An Ensemble Technique"". Each dish at the restaurant is evaluated based on the text review left by the patron, which is then verified as a favorable (positive) or unfavorable (negative) review by the application of a group of classification models (Ensemble ML Model) in machine learning after handling textual data with NLP (to convert textual data to numerical data). And this information is kept in a database where each food item has a number of consumers, a number of favorable reviews, a number of unfavorable reviews, a positive rate and a negative rate. The owner then selects the food item with the lowest rating from the database and does the appropriate quality checks, such as changing chefs or updating the ingredients supplied.","2575-7288","979-8-3503-9737-6","10.1109/ICACCS57279.2023.10112729","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10112729","Machine Learning;Ensemble Technique - Boosting and Stacking Techniques;Classification Techniques - DTC;LR;SVM;ANN","Productivity;Databases;Communication systems;Stacking;Companies;Boosting;Data models","","2","","17","IEEE","5 May 2023","17-18 March 2023","17-18 March 2023","IEEE","IEEE Conferences"
"Novel Ensemble Sentiment Classification through Speech Processing and Stacking Generalization","S. Chowdhury; S. Roy; M. John; V. R. C. Chathurvedi; D. Das; A. Mohanty","School of Electronics Engineering, Vellore Institute of Technology, Vellore, India; School of Electronics Engineering, Vellore Institute of Technology, Vellore, India; School of Electronics Engineering, Vellore Institute of Technology, Vellore, India; School of Electronics Engineering, Vellore Institute of Technology, Vellore, India; School of Electronics Engineering, Vellore Institute of Technology, Vellore, India; School of Electronics Engineering, Vellore Institute of Technology, Vellore, India","2024 First International Conference on Electronics, Communication and Signal Processing (ICECSP)","8 Oct 2024","2024","","","1","6","This paper introduces an innovative method for speech sentiment analysis, by employing a stacking classifier. The proposed system directly transcribes audio and extracts essential features for sentiment analysis. The stacking classifier, which combines multiple classifiers, enhances predictive performance. Intermediate models include K-Nearest Neighbors (k-NN), Random Forest, SVM, Gaussian Naive Bayes, and Logistic Regression. OpenAI Whisper transformer is used for audio-to-text conversion. The methodology encompasses audio data preprocessing, text conversion, natural language processing, and model training. The model is evaluated on accuracy, recall, precision, and F1-score. We examine the effectiveness of various classifiers and feature sets in sentiment analysis of speech data through empirical investigation. The experimental results demonstrate the system's ability to accurately classify sentiment and provide valuable insights into sentiment analysis methods, tailored for spoken language.","","979-8-3503-6459-0","10.1109/ICECSP61809.2024.10698242","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10698242","Sentiment Analysis;Transformers;Stacking Classifier;Natural Language Processing;Speech Processing","Support vector machines;Training;Sentiment analysis;Logistic regression;Accuracy;Stacking;Nearest neighbor methods;Transformers;Feature extraction;Bayes methods","","","","10","IEEE","8 Oct 2024","8-10 Aug. 2024","8-10 Aug. 2024","IEEE","IEEE Conferences"
"Fake Job Detection using Statistical and NLP Based Analysis","A. J. Veliyath; A. Ahmad; A. B. Abraham; S. Hema Hasmita Kancharla; C. P. Chavan","Department of Computer Science & Engineering, PES University, Bangalore, India; Department of Computer Science & Engineering, PES University, Bangalore, India; Department of Computer Science & Engineering, PES University, Bangalore, India; Department of Computer Science & Engineering, PES University, Bangalore, India; Department of Computer Science & Engineering, PES University, Bangalore, India",2025 IEEE 15th International Conference on Electronics Information and Emergency Communication (ICEIEC),"11 Dec 2025","2025","","","1","6","Detecting fraudulent job postings is a critical challenge for online recruitment platforms. This study integrates statistical analysis and natural language processing (NLP) to enhance detection accuracy. Structured features such as company reputation, job titles, and salary ranges are analyzed using machine learning models, including Support Vector Machine (SVM), K-Nearest Neighbors (KNN), XGBoost, and Naïve Bayes. To address data imbalance, the Synthetic Minority Over-Sampling Technique (SMOTE) is applied, ensuring model reliability. Additionally, NLP-based detection leverages linguistic features such as word usage, sentence structure, and tone to identify deceptive job postings. For this task, KNN, Logistic Regression, and SVM are employed, demonstrating strong classification performance. This hybrid approach significantly improves fraudulent job detection, offering a robust and scalable solution for real-world applications.","2377-844X","979-8-3315-0405-2","10.1109/ICEIEC65904.2025.11273154","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11273154","Fraudulent Job Postings;Machine Learning;Natural Language Processing (NLP);Statistical Analysis;Feature Engineering;Support Vector Machine (SVM);XGBoost;Fraud Detection","Support vector machines;Logistic regression;Statistical analysis;Machine learning;Nearest neighbor methods;Feature extraction;Natural language processing;Remuneration;Reliability;Recruitment","","","","15","IEEE","11 Dec 2025","21-22 June 2025","21-22 June 2025","IEEE","IEEE Conferences"
"A Graph-to-Sequence Learning Framework for Summarizing Opinionated Texts","P. Wei; J. Zhao; W. Mao","Institute of Automation, Chinese Academy of Sciences (CASIA), Beijing, China; Institute of Automation, Chinese Academy of Sciences (CASIA), Beijing, China; Institute of Automation, Chinese Academy of Sciences (CASIA), Beijing, China","IEEE/ACM Transactions on Audio, Speech, and Language Processing","12 May 2021","2021","29","","1650","1660","There is a great need for effective summarization methods to absorb the key points of large amounts of opinions expressed on the Web. In this paper, we study the problem of opinionated text summarization, which aims to generate a coherent summary for a set of opinionated texts towards a specific topic (e.g., a movie or a controversial issue). The main characteristic of this problem is that the input set contains an arbitrary number of texts, which brings about redundant opinions and useless texts. Further, informative opinions to be summarized are scattered over different opinionated texts, thus it is vital to avoid focusing only on partial opinions. However, previous work can not tackle the above two issues effectively. To address such issues, we propose a two-stage graph-to-sequence learning framework for summarizing opinionated texts. The first stage selects summary-worthy texts from all input opinionated texts, and we construct an opinion relation graph to help estimate salience via exploiting the relationships among the input texts. Given the selected texts, the second stage generates an opinion summary via a maximal marginal relevance guided graph-to-sequence model, which gives consideration to both salient and non-redundant opinions. Experimental results on two benchmark datasets show that our framework outperforms the existing state-of-the-art methods. Human evaluation further verifies that our framework can generate more informative and compact opinion summaries than previous methods.","2329-9304","","10.1109/TASLP.2021.3071667","National Natural Science Foundation of China(grant numbers:#11832001,#71621002); Ministry of Science and Technology of China(grant numbers:#2020AAA0108401,#2020AAA0108405); Beijing Municipal Science and Technology Commission(grant numbers:Z201100006820085); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9399795","Opinion summary generation;Graph neural networks;Graph-to-sequence learning;Maximal marginal relevance","Decoding;Drugs;Task analysis;Motion pictures;Speech processing;Protocols;Focusing","","8","","53","IEEE","9 Apr 2021","2021","","IEEE","IEEE Journals"
"Quantitative assessment of tremor during deep brain stimulation using a wearable glove system","H. Dai; L. T. D'Angelo","Institute of Micro Technology and Medical Device Technology, Technische Universitaet Muenchen, Munich, Germany; Institute of Micro Technology and Medical Device Technology, Technische Universitaet Muenchen, Munich, Germany",2013 IEEE International Workshop of Internet-of-Things Networking and Control (IoT-NC),"2 Jan 2014","2013","","","53","57","Deep brain stimulation (DBS) is a crucial surgical procedure for Parkinson's disease and essential tremor. There is yet no designated system for the accurate monitoring of the stimulating effect. Tremor is prominent in the Parkinson's disease. A novel wearable glove system for tremor quantification during DBS is presented. Rest, postural and action tremor assessment tasks are chosen as the feedback to the DBS treatment. Each tremor assessment task lasts for 10 seconds. A total of 5 patients with tremor were tested with the first prototype. Time-frequency analysis and statistical analysis were realized based on the inertial measurement unit signals. Results indicate that the tremor frequency was stable for all patients; however, the tremor amplitude fluctuated all the time. Valid state detection algorithm was performed for each assessment task. The mean tremor amplitudes of valid rest and postural tremor tasks correlate well with the clinical scores. After further experiments and verifications, this system is supposed to support the choosing of the optimal target location and stimulation intensity setting of the DBS electrode during DBS surgery.","","978-1-4799-0826-4","10.1109/IoT-NC.2013.6694054","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6694054","tremor;deep brain stimulation;Parkinson's disease;glove;inertial measurement unit","Satellite broadcasting;Accelerometers;Parkinson's disease;Gyroscopes;Surgery;Sensor systems","","8","","25","IEEE","2 Jan 2014","24-24 June 2013","24-24 June 2013","IEEE","IEEE Conferences"
"Multi-Class Text Classification: Model Comparison and Selection","W. Arshad; M. Ali; M. Mumtaz Ali; A. Javed; S. Hussain","Faculty of Information Technlogy, University of Cental Punjab, Lahore, Pakistan; Dept. of Computer Science, The Superior University, Lahore, Pakistan; School of Information Eng., Zhengzhou University, Henan, China; School of Information Eng., Zhengzhou University, Henan, China; Dept. of Computer Science, The University of Lahore, Lahore, Pakistan","2021 International Conference on Electrical, Communication, and Computer Engineering (ICECCE)","27 Aug 2021","2021","","","1","5","The objective of text classification is to categorize documents into a specific number of predefined categories. We can easily imagine the issue of arranging documents, not by topic, but rather by and large assessment, e.g. deciding if the sentiment of a document is whether positive or negative. While working on a supervised machine learning problem with a defined dataset, there are many classifiers that can be used in text classification. Utilizing dataset of stack overflow questions, answers, and tags as information, we find that standard machine learning systems completely beat human-delivered baselines. These majorly include Naive Bayes Classifier for multinomial models, Linear Support Vector Machine, Logistic Regression, Word to vector (Word2vec) and Logistic Regression, Document to vector (Doc2vc) and logistic regression, Bag of Words (BOW) with Keras. Our paper is a detailed examination and comparison of accuracies among these algorithms.","","978-1-6654-3897-1","10.1109/ICECCE52056.2021.9514108","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9514108","Text classification;stack overflow;Machine learning;supervised machine learning;classifiers;Linear Support Vector Machine;Logistic Regression;Word2vec and Logistic Regression;Doc2vc and logistic regression;BOW with Keras","Machine learning algorithms;Text categorization;Support vector machine classification;Machine learning;Naive Bayes methods;Classification algorithms;Standards","","5","","26","IEEE","27 Aug 2021","12-13 June 2021","12-13 June 2021","IEEE","IEEE Conferences"
"Quantitative assessment of tremor during deep brain stimulation using a wearable glove system","H. Dai; L. T. D'Angelo","Institute of Micro Technology and Medical Device Technology, Technische Universitaet Muenchen, Munich, Germany; Institute of Micro Technology and Medical Device Technology, Technische Universitaet Muenchen, Munich, Germany","2013 IEEE International Conference on Sensing, Communications and Networking (SECON)","24 Oct 2013","2013","","","81","85","Deep brain stimulation (DBS) is a crucial surgical procedure for Parkinson's disease and essential tremor. There is yet no designated system for the accurate monitoring of the stimulating effect. Tremor is prominent in the Parkinson's disease. A novel wearable glove system for tremor quantification during DBS is presented. Rest, postural and action tremor assessment tasks are chosen as the feedback to the DBS treatment. Each tremor assessment task lasts for 10 seconds. A total of 5 patients with tremor were tested with the first prototype. Time-frequency analysis and statistical analysis were realized based on the inertial measurement unit signals. Results indicate that the tremor frequency was stable for all patients; however, the tremor amplitude fluctuated all the time. Valid state detection algorithm was performed for each assessment task. The mean tremor amplitudes of valid rest and postural tremor tasks correlate well with the clinical scores. After further experiments and verifications, this system is supposed to support the choosing of the optimal target location and stimulation intensity setting of the DBS electrode during DBS surgery.","2155-5494","978-1-4799-0230-9","10.1109/SAHCN.2013.6644965","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6644965","tremor;deep brain stimulation;Parkinson's disease;glove;inertial measurement unit","Satellite broadcasting;Accelerometers;Parkinson's disease;Gyroscopes;Sensor systems;Surgery","","1","","25","IEEE","24 Oct 2013","24-27 June 2013","24-27 June 2013","IEEE","IEEE Conferences"
"Stress Detection in Social Interactions Using NLP and Machine Learning","Prathyakshini; Prathwini","Nitte Department of Information Science and Engineering, Nitte (Deemed to be University), NMAM Institute of Technology (NMAMIT), Nitte, Karkala, India; Nitte Department of Master of Computer Applications, Nitte (Deemed to be University) NMAM Institute of Technology (NMAMIT), Nitte, Karkala, India",2025 9th International Conference on Inventive Systems and Control (ICISC),"13 Oct 2025","2025","","","925","931","Most social media information is utilized for sentiment analysis, reviews, viewpoints, and impact. The suggested approach looks at the posts and comments to determine a person's level of stress by extending sentiment and evaluating emotions. Large datasets of tweets can be subjected to sentiment analysis with machine learning techniques, deep learning models, and BERT for sentiment categorization. Additionally, Latent Dirichlet Allocation is utilized that gathers word groupings and similar phrases that most accurately represent a set of documents by scanning a collection of documents, identifying patterns of words and phrases amongst them, and gathering these data. These emotions can also be utilized to analyze stress and sadness effectively. Both the BERT model and other machine learning models demonstrate excellent detection accuracy. The insights gained from this research contribute significantly to improving mental health. It is evident from the results that the trained model can identify the emotional state based on social interactions when analyzed using a variety of macro and micro variables.","","979-8-3315-1247-7","10.1109/ICISC65841.2025.11188001","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11188001","Natural Language Processing;Sentiment Analysis;Latent Dirichlet method","Deep learning;Sentiment analysis;Analytical models;Accuracy;Social networking (online);Reviews;Machine learning;Mental health;Resource management;Videos","","","","16","IEEE","13 Oct 2025","12-13 Aug. 2025","12-13 Aug. 2025","IEEE","IEEE Conferences"
