"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Windows malware detection based on cuckoo sandbox generated report using machine learning algorithm","S. L. S. Darshan; M. A. A. Kumara; C. D. Jaidhar","Department of Information Technology, National Institute of Technology Karnataka, Surathkal, Karnataka, IN; Department of Information Technology, National Institute of Technology Karnataka, Surathkal, Karnataka, IN; Department of Information Technology, National Institute of Technology Karnataka, Mangalore, India",2016 11th International Conference on Industrial and Information Systems (ICIIS),"18 Jan 2018","2016","","","534","539","Malicious software or malware has grown rapidly and many anti-malware defensive solutions have failed to detect the unknown malware since most of them rely on signature-based technique. This technique can detect a malware based on a pre-defined signature, which achieves poor performance when attempting to classify unseen malware with the capability to evade detection using various code obfuscation techniques. This growing evasion capability of new and unknown malwares needs to be countered by analyzing the malware dynamically in a sandbox environment, since the sandbox provides an isolated environment for analyzing the behavior of the malware. In this paper, the malware is executed on to the cuckoo sandbox to obtain its run-time behavior. At the end of the execution, the cuckoo sandbox reports the system calls invoked by the malware during execution. However, this report is in JSON format and has to be converted to MIST format to extract the system calls. The collected system calls are structured in the form of N-Grams, which help to build the classifier by using the Information Gain (IG) as a feature selection technique. A comprehensive experiment was conducted to perceive the best fit classifier among the chosen classifiers, including the Bayesian-Logistic-Regression, SPegasos, IB1, Bagging, Part, and J48 defined within the WEKA tool. From the experimental results, the overall best performance for all the selected top N-Grams such as 200, 400, and 600 goes to SPegasos with the highest accuracy, highest True Positive Rate (TPR), and lowest False Positive Rate (FPR).","","978-1-5090-3818-3","10.1109/ICIINFS.2016.8262998","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8262998","Sandbox;Malware Detection;Machine Learning;Hypervisor;Virtual machine;N-Gram Feature Extraction","Malware;Feature extraction;Monitoring;Machine learning algorithms;Tools","","24","","15","IEEE","18 Jan 2018","3-4 Dec. 2016","3-4 Dec. 2016","IEEE","IEEE Conferences"
"Machine Learning vs. Deep Learning for Personalized Medicine Recommendations: A Sentiment Analysis Perspective","A. Mishra; Y. Kumar; N. K. Padhan; T. Verma; A. Kumar","Department of Computer Science and Engineering, C. V. Raman Global University, Bhubaneswar, Odisha, India; Department of Computer Science and Engineering, C. V. Raman Global University, Bhubaneswar, Odisha, India; Department of Computer Science and Engineering, C. V. Raman Global University, Bhubaneswar, Odisha, India; Department of Computer Science and Engineering, C. V. Raman Global University, Bhubaneswar, Odisha, India; Department of Computer Science and Engineering, C. V. Raman Global University, Bhubaneswar, Odisha, India","2024 International Conference on Signal Processing, Computation, Electronics, Power and Telecommunication (IConSCEPT)","22 Aug 2024","2024","","","1","6","The paper provides a comprehensive comparative analysis of sentiment analysis algorithms, which includes Support Vector Machines (SVM), Convolutional Neural Networks (CNN), K-Nearest Neighbors (KNN), Logistic Regression, Simple Neural Network, and Naive Bayes Utilizing a variety of datasets from social media sentiments and product reviews, the study thoroughly evaluates both the computational complexities and practical performance of these methods. Through comprehensive experiments and analysis of metrics such as accuracy, precision, recall, and F1-score, the study reveals the distinct effectiveness of each algorithm for different sentiment analysis tasks. The findings highlights the strengths and limitations of eachapproach, offering valuable insights for practitioners seeking to navigate the landscape of sentiment analysis techniques. By contributing towards the ongoing discourse on advancing sentiment analysis in the context of big data and computational linguistics, this study aims to inform algorithm selection and promote advancements in NLP research.","","979-8-3315-4068-5","10.1109/IConSCEPT61884.2024.10627788","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10627788","","Support vector machines;Sentiment analysis;Accuracy;Machine learning algorithms;Computational modeling;Signal processing algorithms;Nearest neighbor methods","","2","","32","IEEE","22 Aug 2024","4-5 July 2024","4-5 July 2024","IEEE","IEEE Conferences"
"An Empirical Study on Software Requirements Classification Method based on Mobile App User Comments","H. Jin; H. Wan; Z. Li; W. Wang","School of Computer Science and Artificial Intelligence, Wuhan Textile University, Wuhan, China; School of Computer Science and Artificial Intelligence, Wuhan Textile University, Wuhan, China; School of Information Engineering, Wuhan University of Technology, Wuhan, China; School of Computer Science and Artificial Intelligence, Wuhan Textile University, Wuhan, China","2022 IEEE 22nd International Conference on Software Quality, Reliability, and Security Companion (QRS-C)","30 Mar 2023","2022","","","533","541","User comments are one of the main ways for IT companies to obtain software evolution requirements. There are two major methods used to classify the software requirements: the traditional user requirements mining method and the user comments requirements mining. The advantage of traditional user requirements mining is that it can communicate with users face to face, but it is time consuming and the results may not be accurate. Therefore, in this paper, we use the user comments requirements mining method to compare the labeling effect of classification methods on the data set of 19,673 comments. The experimental results show that the combination of TF-IDF and logistic regression (LR) works best on the labeled dataset. This experiment combined with word cloud map has excellent effect on obtaining user requirements.","2693-9371","979-8-3503-1991-0","10.1109/QRS-C57518.2022.00085","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10077026","User comments;Requirements mining;Mobile application;Text classification","Machine learning algorithms;Software quality;Tag clouds;Libraries;Mobile applications;Software reliability;Data mining","","1","","10","IEEE","30 Mar 2023","5-9 Dec. 2022","5-9 Dec. 2022","IEEE","IEEE Conferences"
"Probabilistic Performance Bounds for Evaluating Depression Models Given Noisy Self-Report Labels","R. Różański; E. Shriberg; Y. Lu; A. Harati; T. Rutowski; P. Chlebek; T. Goulart; R. Oliveira","Ellipsis Health, San Francisco, CA, USA; Ellipsis Health, San Francisco, CA, USA; Ellipsis Health, San Francisco, CA, USA; Ellipsis Health, San Francisco, CA, USA; Ellipsis Health, San Francisco, CA, USA; Ellipsis Health, San Francisco, CA, USA; Ellipsis Health, San Francisco, CA, USA; Ellipsis Health, San Francisco, CA, USA",2023 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),"18 Jan 2024","2023","","","4827","4833","Advances in AI for health applications rely on evaluating performance against labeled test data. In the area of mental health, self-report labels from surveys such as the Patient Health Questionnaire (PHQ) for depression, are useful but noisy. This ""fuzzy label"" problem is not currently reflected in reporting model performance, adding to the challenge of comparing results across diverse corpora, data sizes, metrics, and test label distributions.To address this issue, we develop an approach inspired by Bayes Error to estimate a model’s upper and lower performance bounds. Unlike past work, our approach can be used for both regression and classification. The method starts with a perfect match between target and prediction vectors, then applies label noise to degrade performance. To obtain confidence intervals, we use test-set bootstrapping to produce prediction and target vectors.We present results using voice-based deep learning models that predict depression risk from a conversational speech sample. Models capture both language and acoustic information. For label noise, we introduce results from a corpus in which 5625 unique subjects completed the PHQ-8 twice, separated by a short distraction task. Speech test data come from three real-world corpora encompassing over 3500 total datapoints. The test sets differ in speech elicitation, speech length, and speaker demographics among other factors.Results illustrate how probabilistic performance bounds based on PHQ-8 label noise affect the interpretation and comparison of models over corpora and metrics. Implications for science, technology, and future directions are discussed.","2156-1133","979-8-3503-3748-8","10.1109/BIBM58861.2023.10385617","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10385617","mental health;PHQ-8;depression;deep learning;Bayes Error;probabilistic performance bounds;metrics;voice biomarkers;NLP;acoustic modeling","Surveys;Deep learning;Instruments;Mental health;Predictive models;Depression;Probabilistic logic","","1","","40","IEEE","18 Jan 2024","5-8 Dec. 2023","5-8 Dec. 2023","IEEE","IEEE Conferences"
"Performance Evaluation of Different Word Embedding Techniques Across Machine Learning and Deep Learning Models","T. Mazumder; S. Das; M. Hasibur Rahman; T. Helaly; T. Sarkar Pias","Department of CSE, University of Asia, Pacific Dhaka, Bangladesh; Department of CSE, University of Asia, Pacific Dhaka, Bangladesh; Department of CSE, University of Asia, Pacific Dhaka, Bangladesh; Department of CSE, University of Asia, Pacific Dhaka, Bangladesh; Department of Computer Science, Virginia Tech, USA, Blacksburg, USA",2022 25th International Conference on Computer and Information Technology (ICCIT),"3 Mar 2023","2022","","","932","937","Sentiment analysis is one of the core fields of Natural Language Processing(NLP). Numerous machine learning and deep learning algorithms have been developed to achieve this task. Generally, deep learning models perform better in this task as they are trained on massive amounts of data. This, however, also poses a disadvantage as collecting sufficient amounts of data is a challenge and training with this data requires devices with high computational power. Word embedding is a vital step in applying machine learning models for NLP tasks. Different word embedding techniques affect the performance of machine learning algorithms. This paper evaluates GloVe, CountVectorizer, and TF-IDF embedding techniques with multiple machine learning models and proves that the right combination of embedding technique and machine learning model(TF-IDF+Logistic Regression: 87.75% accuracy) can achieve nearly the same performance or more as deep learning models (LSTM: 87.89%).","","979-8-3503-4602-2","10.1109/ICCIT57492.2022.10055572","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10055572","GloVe;TF-IDF;Count Vectorizer;Keras Embedding;BERT;Deep Learning;Sentiment Analysis","Deep learning;Performance evaluation;Training;Sentiment analysis;Machine learning algorithms;Computational modeling;Natural languages","","","","24","IEEE","3 Mar 2023","17-19 Dec. 2022","17-19 Dec. 2022","IEEE","IEEE Conferences"
"Integrating Deep and Shallow Models for Multi-Modal Depression Analysis—Hybrid Architectures","L. Yang; D. Jiang; H. Sahli","NPU-VUB joint AVSP Research Lab, School of Computer Science, Shaanxi Key Lab on Speech and Image Information Processing, Northwestern Polytechnical University (NPU), Xi'an, China; NPU-VUB joint AVSP Research Lab, School of Computer Science, Shaanxi Key Lab on Speech and Image Information Processing, Northwestern Polytechnical University (NPU), Xi'an, China; VUB-NPU joint AVSP Research Lab, Department of Electronics & Informatics (ETRO), Vrije Universiteit Brussel (VUB), Brussels, Belgium",IEEE Transactions on Affective Computing,"26 Feb 2021","2021","12","1","239","253","At present, although great progress has been made in automatic depression assessment, most of the recent works only concern the audio and video paralinguistic information, rather than the linguistic information from the spoken content. In this work, we argue that beside developing good audio and video features, to build reliable depression detection systems, text-based content features are also of importance to analyse depression-related textual indicators. Furthermore, to improve the performance of automatic depression assessment systems, powerful models, capable of modelling the characteristics of depression embedded in the audio, visual and text descriptors, are also required. This paper proposes new text and video features and hybridizes deep and shallow models for depression estimation and classification from audio, video and text descriptors. The proposed hybrid framework consists of three main parts: 1) A Deep Convolutional Neural Network (DCNN) and Deep Neural Network (DNN) based audio-visual multi-modal depression recognition model for estimating the Patient Health Questionnaire depression scale (PHQ-8); 2) A Paragraph Vector (PV) and Support Vector Machine (SVM) based model for inferring the physical and mental conditions of the individual from the transcripts of the interview; 3) A Random Forest (RF) model for depression classification from the estimated PHQ-8 score and the inferred conditions of the individual. In the PV-SVM model, PV embedding is used to obtain fixed-length feature vectors from transcripts of the answers to the questions associated with psychoanalytic aspects of depression, which are subsequently fed into the SVM classifiers for detecting the presence/absence of the considered psychoanalytic symptoms. To our best knowledge, this approach is the first attempt to apply PV for depression analysis. Besides, we propose a new visual descriptor - Histogram of Displacement Range (HDR) to characterize the displacement and velocity of the facial landmarks in the video segment. Experiments have been carried out on the Audio Visual Emotion Challenge (AVEC2016) depression dataset, they demonstrate that: 1) The proposed hybrid framework effectively improves the accuracies of both depression estimation and depression classification, with an average F1 measure up to 0.746, which is higher than the best result (0.724) of the depression sub-challenge of AVEC2016. 2) HDR obtains better depression recognition performance than Bag-of-Words (BoW) and Motion History Histogram (MHH) features.","1949-3045","","10.1109/TAFFC.2018.2870398","Shaanxi Provincial International Science and Technology Collaboration(grant numbers:2017KW-ZD-14); National Natural Science Foundation of China(grant numbers:61273265); VUB Interdisciplinary Research Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8465953","Depression estimation;depression classification;deep convolutional neural network-deep neural network (DCNN-DNN);paragraph vector-support vector machine (PV-SVM);random forest;histogram of displacement range (HDR)","Visualization;Estimation;Support vector machines;Feature extraction;Histograms;Analytical models;Neural networks","","94","","83","IEEE","14 Sep 2018","1 Jan.-March 2021","","IEEE","IEEE Journals"
"A Framework for Personality Prediction for E-Recruitment Using Machine Learning Algorithms","L. Thapa; A. Pandey; D. Gupta; A. Deep; R. Garg","Dept. of computer science and engineering, Amity University, Uttar Pradesh, India; Dept. of computer science and engineering, Amity University, Uttar Pradesh, India; Dept. of computer science and engineering, Amity University, Uttar Pradesh, India; Dept. of computer science and engineering, Amity University, Uttar Pradesh, India; Dept. of computer science and engineering, Amity University, Uttar Pradesh, India","2024 14th International Conference on Cloud Computing, Data Science & Engineering (Confluence)","21 Mar 2024","2024","","","1","5","With rapid advancements in technology, the process of recruitment has evolved from traditional methods to online and automated methods known as e-recruitment. While e-recruitment streamlines the initial screening process, assessing the personality and suitability of candidates continues to remain a challenge. In this paper, we propose a framework for online personality prediction to aid the e-recruitment process. The framework utilizes machine learning algorithms to analyze user data from multiple online sources like resumes, social media profiles, and responses to psychometric tests, and predict their personality type based on established psychological theories. Four popular personality prediction models - Big Five, Myers Briggs, HEXACO, and Enneagram are discussed. State-of-the-art natural language processing and deep learning techniques like BERT are explored for feature extraction from text data. Popular supervised machine learning algorithms like logistic regression, Naive Bayes, k-nearest neighbors, support vector machines, random forest, XGBoost, and LSTM are compared to build predictive models. The proposed framework can help recruiters shortlist candidates better matched to job requirements, leading to increased hiring satisfaction and productivity.","2766-421X","979-8-3503-4483-7","10.1109/Confluence60223.2024.10463354","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10463354","personality prediction;personality prediction models;machine learning models;natural language processing;text mining","Deep learning;Support vector machines;Adaptation models;Machine learning algorithms;Social networking (online);Resumes;Predictive models","","10","","19","IEEE","21 Mar 2024","18-19 Jan. 2024","18-19 Jan. 2024","IEEE","IEEE Conferences"
"Japanese Language Review Mining using Translators, Word Embedding and ML Techniques","R. T; P. D. Shenoy; V. K. R","Department of CSE, UVCE, Bengaluru University, Bengaluru, India; Department of CSE, UVCE, Bengaluru University, Bengaluru, India; Department of CSE, UVCE, Bengaluru University, Bengaluru, India",2023 International Conference on Recent Advances in Information Technology for Sustainable Development (ICRAIS),"27 Dec 2023","2023","","","171","176","Most individuals rely on translation to communicate and comprehend other languages. The main driving force behind this study is determining which translator, along with the blend of word embedding and Machine Learning(ML)techniques, has greater accuracy when working with the Japanese Language. Business owners struggle to understand how their products perform in Japan and receive feedback to improve it. Japanese is among the most complex languages to read and write. The issue can be resolved by classifying reviews and ratings into separate groups, such as excellent and negative so business owners can improve their products based on the reviews. This study examines the reviews and ratings from the Japanese-language Amazon Product Review dataset. These reviews have been translated into English using three different translators (Google - GT, Microsoft - MT, and Python - PT). The data for each translator is then subjected to a combination of word embedding techniques (Count Vector, TF-IDF, and Word2vec) and machine learning techniques (Logistic Regression (LR), Support Vector Machine (SVM), Random Forest Classifier (RF), Decision Tree Classifier (DT), and XG Boost Classifier (XGB). According to the study's findings, the Python Translator, combined with a TF-IDF and LR mix, exceeds all other translators with an accuracy of 89.96%.","","979-8-3503-0663-7","10.1109/ICRAIS59684.2023.10367133","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10367133","Google Translator;Microsoft Translator;Natural Language Processing;Python Translator;Machine Learning;Word Embedding Techniques","Support vector machines;Logistic regression;Force;Internet;Sustainable development;Information technology;Random forests","","2","","14","IEEE","27 Dec 2023","6-7 Nov. 2023","6-7 Nov. 2023","IEEE","IEEE Conferences"
"A Deep Learning Co-training Framework for e-book Classification","T. -P. Chang; H. -M. Chen; J. -Q. Chen","Department of Computer Science and Information Engineering, National Taichung University of Science and Technology, Taichung, Taiwan; Department of Computer Science and Information Engineering, National Taichung University of Science and Technology, Taichung, Taiwan; Department of Computer Science and Information Engineering, National Taichung University of Science and Technology, Taichung, Taiwan","2020 International Symposium on Computer, Consumer and Control (IS3C)","8 Apr 2021","2020","","","376","379","Automatic e-book classification is an important research issue since more and more people read and acquire information on their mobile devices (i.e., smartphones). Many writers digitize their works for users to acquire data on their mobile devices and result in the number of e-books has grown significantly. An e-book is a digital or electronic book that is formatted into a file that can be read on a mobile device. Some features of books are used in e-books. However, the important difference is that an e-book has a lot of images to describe the contents or knowledge of writers. Many researches proposed their methods of e-book classification to make users easily to find out and then read an e-book on their mobile devices. In these methods, an e-book can be categorized by several criteria. One of it is based on its type, i.e., novel, reference, and encyclopedia. Another is based on its topic, i.e., economy, religion, and technical. The classification systems based on the topics usually use well-known methodology such as Dewey Decimal Classification, in which, every category reflected by a decimal. These researches use Naïve Bayes Classifier and focus on automatic thesis classification. As deep learning proves its usefulness in an ever greater number of applications, there is a rise in demand for faster computational resources to train ever complex learning-based models. Based on the concept of deep learning, some researches proposed their methods to automatic e-book classification. W. A. Wiegand proposed a convolutional-neural-network (CNN) book label recognition algorithm to find out the misplaced books. On the other hand, four steps are illustrated in X. Yang et al. First, the keywords are extracted from the description data of e-books. Then, the description data is modeled as vectors of keywords. Third, the statistical categorization rules are obtained from meta-information of e-books. Finally, the vectors and the statistical categorization rules are combined to obtain an classification model. In this paper, a deep learning co-training framework (namely DLC) is proposed for improving the accuracy of automatic e-book classification. DLC combines the features of texts and images in e-books to co-training an e-book classifier. In order to increase the variety of feature sets, the texts in e-books are represented as vectors by Word2Vec. The images in e-books are translated and then combined into the vectors. Furthermore, DLC adopts the softmax regression function to co-train the combined features (i.e., vectors and images) in CNN to improve the accuracy of e-book classification. The experimental results demonstrate that our DLC has higher accuracy than other e-book classifiers.","","978-1-7281-9362-5","10.1109/IS3C50286.2020.00103","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9394145","deep learning;e-book classification;auto classification;Convolutional Neural Network","Deep learning;Electronic publishing;Neural networks;Encyclopedias;Data models;Data mining;Smart phones","","1","","27","IEEE","8 Apr 2021","13-16 Nov. 2020","13-16 Nov. 2020","IEEE","IEEE Conferences"
"Multi-Class Classification of Code Injection Attacks Using the Support Vector Machine Algorithm","H. S. Firmandani; M. Kamal; K. M. D. Pertiwi","Information Technology (Surabaya Campus) Department, Telkom University, Surabaya, Indonesia; Information Technology (Surabaya Campus) Department, Telkom University, Surabaya, Indonesia; Information Technology (Surabaya Campus) Department, Telkom University, Surabaya, Indonesia",2025 4th International Conference on Electronics Representation and Algorithm (ICERA),"29 Jul 2025","2025","","","653","658","Code injection attacks such as SQL Injection and Cross-Site Scripting remain among the most prevalent and dangerous threats to web applications. This study proposes a multi-class classification system utilizing the Support Vector Machine algorithm to detect and differentiate between SQLi, XSS, and normal web traffic. A comprehensive dataset was constructed by combining both primary data captured via automated attacks on vulnerable features of the OWASP Juice Shop using Caido and secondary data from public repositories. The collected HTTP logs underwent preprocessing, including tokenization and vectorization using Word2Vec. The resulting features were used to train an SVM classifier with a One-vs-Rest strategy. Extensive hyperparameter tuning was performed using GridSearchCV with 5-fold cross-validation. To evaluate its effectiveness, the SVM model was benchmarked against Random Forest, Logistic Regression, and K-Nearest Neighbors, all trained using identical pipelines. The optimized SVM model achieved the highest accuracy of 97.49 %, outperforming the other classifiers in most evaluation metrics. Furthermore, the model was deployed in a real-time detection system, demonstrating robust performance with a detection rate of 88.39 % on a diverse set of unseen attack payloads. The results validate the SVM model's effectiveness for practical and accurate detection of code injection attacks.","","979-8-3315-9582-1","10.1109/ICERA66156.2025.11087265","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11087265","Support Vector Machine;SQL Injection;CrossSite Scripting;Multi-Class Classification;Machine Learning","Support vector machines;Measurement;Logistic regression;Codes;Accuracy;SQL injection;Nearest neighbor methods;Real-time systems;Classification algorithms;Random forests","","1","","18","IEEE","29 Jul 2025","12-12 June 2025","12-12 June 2025","IEEE","IEEE Conferences"
