"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Classification of ""Hot News"" for Financial Forecast Using NLP Techniques","S. Yıldırım; D. Jothimani; C. Kavaklıoğlu; A. Başar","Faculty of Engineering and Natural Sciences, Istanbul Bilgi University, Istanbul, Turkey; Data Science Laboratory, Ryerson University, Toronto, Canada; Data Science Laboratory, Ryerson University, Toronto, Canada; Data Science Laboratory, Ryerson University, Toronto, Canada",2018 IEEE International Conference on Big Data (Big Data),"24 Jan 2019","2018","","","4719","4722","Complex dynamics of stock market could be attributed to various factors ranging from company's financial ratios to investors' sentiment and reaction to Financial news. The paper aims to classify Financial news articles as ""hot"" (significant) and ""non-hot"" (non-significant). The study is carried out using Dow Jones newswires text feed for a period of four years spanning from 2013 till 2017. Bag-of-ngrams appraoch and Term Frequency-Inverse Document Frequency (TF-IDF) were used for text representation and text weighting, respectively. Four linear classifiers, namely, Logistic Regression (LR), Support Vector Machine (SVM), k Nearest Neighbours (kNN) and multinomial Naïve Bayes (mNB) were used. Grid search was used for hyperparameter optimisation. Performance of the classifiers was evaluated using five measures, namely, success rate, precision, recall, F1 measure and area under receiver operating characteristics curve. LR and SVM outperformed other models in terms of all five performance measures for both Bag-of-ngrams model and Bag-of-ngrams model with TF-IDF approach. Use of TF-IDF improved performance of the classifiers, especially, in case of mNB. This study serves as a stepping stone in identification of important/relevant news, which could used as predictors for stock price forecasting.","","978-1-5386-5035-6","10.1109/BigData.2018.8621903","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8621903","Financial news;Natural Language Processing;Classification;Hot News;Financial Forecasts","Support vector machines;Autoregressive processes;Data models;Natural language processing;Feeds;Biological system modeling;Predictive models","","11","","37","IEEE","24 Jan 2019","10-13 Dec. 2018","10-13 Dec. 2018","IEEE","IEEE Conferences"
"A Compact Literature Review on Stock Market Prediction","Y. Ayyappa; A. P. S. Kumar","Department Of Computer Science and Engineering, Jawaharlal Nehru Technological University, Anantapur, Ananthapuramu, A.P, India; Department Of Computer Science and Engineering, Jawaharlal Nehru Technological University, Anantapur, Ananthapuramu, A.P, India",2022 4th International Conference on Inventive Research in Computing Applications (ICIRCA),"29 Dec 2022","2022","","","1336","1347","Stock market forecasting has been incredibly hard since it necessitates in-depth knowledge of news events, historical data analysis, as well as the influence of news on stock price movements. The situation is compounded much more difficult by the extreme movement of the stock price patterns. Nevertheless, there is indeed a scarcity of literature that provides a comprehensive review of a general background of stock forecasting. This report gives a complete literature review to fill up this research gap. Data preprocessing strategies, feature extraction techniques, prediction techniques, and future prospects are all covered in length in this literature review. This research is noteworthy yet unique in that it develops a structured methodology for stock price prediction and identifies the advantages and flaws of previous techniques. It covers a wide range of outstanding challenges as well as research topics that the research community may find useful.","","978-1-6654-9707-7","10.1109/ICIRCA54612.2022.9985501","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9985501","Stock Market;Movement Prediction;Feature Extraction;Prediction;Reaserach Gaps","Fault diagnosis;Analytical models;Data analysis;Bibliographies;Data preprocessing;Feature extraction;Stock markets","","7","","27","IEEE","29 Dec 2022","21-23 Sept. 2022","21-23 Sept. 2022","IEEE","IEEE Conferences"
"Learning to Classify Fine-Grained Categories with Privileged Visual-Semantic Misalignment","K. Chen; Z. Zhang","Department of Signal Processing, Tampere University of Technology, Tampere, Finland; Institute of Automation, Chinese Academy of Sciences, Beijing, P.R. China",IEEE Transactions on Big Data,"20 May 2017","2017","3","1","37","43","Image categorisation is an active yet challenging research topic in computer vision, which is to classify the images according to their semantic content. Recently, fine-grained object categorisation has attracted wide attention and remains difficult due to feature inconsistency caused by smaller inter-class and larger intra-class variation as well as large varying poses. Most of the existing frameworks focused on exploiting a more discriminative imagery representation or developing a more robust classification framework to mitigate the suffering. The concern has recently been paid to discovering the dependency across fine-grained class labels based on Convolutional Neural Networks. Encouraged by the success of semantic label embedding to discover the fine-grained class labels' correlation, this paper exploits the misalignment between visual feature space and semantic label embedding space and incorporates it as a privileged information into a cost-sensitive learning framework. Owing to capturing both the variation of imagery feature representation and also the label correlation in the semantic label embedding space, such a visual-semantic misalignment can be employed to reflect the importance of instances, which is more informative that conventional cost-sensitivities. Experiment results demonstrate the effectiveness of the proposed framework on public fine-grained benchmarks with achieving superior performance to state-of-the-arts.","2332-7790","","10.1109/TBDATA.2016.2602231","Academy of Finland(grant numbers:267581); D2I SHOK project; Digile Oy; Nokia Technologies; Tampere; Finland; CSC-IT Center for Science; Finland for generous computational resources; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7552556","Fine-grained categorisation;cost-sensitive learning;deep feature;visual-semantic alignment;multiclass classification","Semantics;Visualization;Training;Feature extraction;Correlation;Computer vision;Neural networks","","5","","63","IEEE","25 Aug 2016","1 March 2017","","IEEE","IEEE Journals"
"Sentiment Analysis using Machine Learning and NLP for Digital Education","M. S. Hossen; M. N. A. Chowdhury; A. M. Sristy; N. Jahan","Daffodil International University, Dhaka, Bangladesh; Daffodil International University, Dhaka, Bangladesh; Daffodil International University, Dhaka, Bangladesh; Daffodil International University, Dhaka, Bangladesh",2022 6th International Conference on Computing Methodologies and Communication (ICCMC),"13 Apr 2022","2022","","","902","908","In this present days, a higher level of education about various subjects can be acquired through various applications and websites which are known as online educational platforms. That is why digital education has its platform to spread knowledge among people. Each of these application contains individual content along with the user point of view which is usually expressed in the comment section, and those reviews or comments can be processed through the natural language processing. On the other hand, there are numerous machine learning algorithms for evaluating these reviews to find out the best and most user-friendly online educational platform. This paper has considered 6000 reviews which have been collected manually from education-related six applications and classified them by analyzing the feelings of the reviewers. The use of 4-gram with Logistical Regression produced higher accuracy (88%) among five algorithms to classify the reviewer’s comment.","","978-1-6654-1028-1","10.1109/ICCMC53470.2022.9754065","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9754065","Sentimental Analysis;Digital Education;Natural Language Processing;Logistic Regression;4-Grams","Sentiment analysis;Machine learning algorithms;Education;Machine learning;Classification algorithms","","4","","19","IEEE","13 Apr 2022","29-31 March 2022","29-31 March 2022","IEEE","IEEE Conferences"
"BRevML: Classifying Bangla Reviews for E-commerce using Machine Learning","M. M. Alam; A. Shome; S. Saha; M. F. Mridha","Department of CSE, Bangladesh University of Business and Technology (BUBT), Dhaka, Bangladesh; CSE Discipline, Khulna University, Khulna, Bangladesh; Department of CSE, Bangladesh University of Business and Technology (BUBT), Dhaka, Bangladesh; Department of CSE, Bangladesh University of Business and Technology (BUBT), Dhaka, Bangladesh",2021 International Conference on Science & Contemporary Technologies (ICSCT),"20 Dec 2021","2021","","","1","6","In recent years, people are showing eagerness for expressing their opinion on online products, tourism services, E-governance services through social networking sites, blogs, e-commerce websites, and etc. In every second, tremendous amounts of data are being produced on these platforms. Currently, 265 million native and non-native speakers across the world use Bangla as their communication language. As a result, digital content with Bangla texts in WWW is growing very rapidly. Nonetheless, due to its complex syntactic structure and an inadequate number of Bangla tools for Natural Language Processing, research on extracting meaningful information is becoming a challenging area for researchers. In this paper, we contribute by providing a prediction model through a comparison based study for classifying positive and negative Bangla reviews. To do so, at first, we’ve accumulated a substantial dataset consisting of e-commerce reviews, written in Bangla language. We’ve applied various machine learning algorithms such as Support Vector Machine, Random Forest, Logistic Regression Classifier, Multinomial Naive Bias, and Extreme Gradient Boosting. Four separate feature engineering techniques are applied to identify the best case. Furthermore, we’ve also applied state-of-the-art deep learning techniques such as ANN, GRU, and LSTM. Finally, we provide a comparative result through the rigorous experiment. We declare Support Vector Machine algorithm along with character-level feature extraction as effective means to classify polarity of Bangla e-commerce reviews since this combination achieved 89% F1-score in our experiment.","","978-1-6654-2132-4","10.1109/ICSCT53883.2021.9642682","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9642682","Natural Language Processing (NLP);Machine Learning;Deep Learning;Bangla Text Classification","Support vector machines;Deep learning;Machine learning algorithms;Text categorization;Training data;Syntactics;Feature extraction","","3","","23","IEEE","20 Dec 2021","5-7 Aug. 2021","5-7 Aug. 2021","IEEE","IEEE Conferences"
"A Novel Approach for Product Recommendation using XGBOOST","B. Bhavana; J. Karthik; P. L. Kumari","Department of CSE, VR Siddhartha Engineering College, Vijayawada, India; Department of CSE, VR Siddhartha Engineering College, Vijayawada, India; Department of CSE, VR Siddhartha Engineering College, Vijayawada, India",2023 International Conference on Intelligent Data Communication Technologies and Internet of Things (IDCIoT),"1 Mar 2023","2023","","","256","261","Sentiment analysis is the most trending research area. Generally, most purchase decisions and price predictions are made based on product reviews. Sentiment analysis helps in understanding the product better. The sentiment analysis of a product summarizes whether the product has a positive, negative or neutral rating. Existing machine learning algorithms like logistic Regression, Decision Tree are used to determine sentiment for product reviews. This work includes XGBOOST and a hybrid model XGBOOST - RF used to observe sentiment on product reviews. The model that gives best performance is used to build a system that recommends products to users.","","978-1-6654-7451-1","10.1109/IDCIoT56793.2023.10053453","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10053453","Extreme Gradient Boosting Algorithm;Extreme Gradient Boosting–Random Forest;Sentiment Analysis;Synthetic minority over-sampling technique;Feature extraction","Radio frequency;Sentiment analysis;Machine learning algorithms;Forestry;Boosting;Internet of Things;Decision trees","","2","","16","IEEE","1 Mar 2023","5-7 Jan. 2023","5-7 Jan. 2023","IEEE","IEEE Conferences"
"Effectiveness of Classifiers to Identify Hand Gestures with Motion Capture Coordinate Markers","A. Rahman; M. Whitlock; E. Abdelfattah","School of Theoretical & Applied Science, Ramapo College of New Jersey, Mahwah, NJ; School of Theoretical & Applied Science, Ramapo College of New Jersey, Mahwah, NJ; School of Theoretical & Applied Science, Ramapo College of New Jersey, Mahwah, NJ",2021 IEEE 11th Annual Computing and Communication Workshop and Conference (CCWC),"17 Mar 2021","2021","","","0779","0784","In a world where technology is increasingly moving towards less wires, less devices, and more portability, the ability of a system to accurately interpret hand gestures is extremely valuable. The innovation of small, inexpensive cameras only makes this even more practical. The practicality of such a system rests on the assumption that hand gestures can be recognized from participants based solely on the shape of their hand. The dataset used for this research, while captured with node markers on a special glove, is formatted independent of a marker indexing system and could be applied in conjunction with a marker identification system for real world application of hand gesture classification. This paper presents an analysis and comparison of the effectiveness classifiers have when trying to determine hand gestures using motion capture coordinate markers provided by a Viacon camera. Stochastic Gradient Descent, Decision Trees, Logistic Regression, Random Forests, and Bagging are applied in this study. Overall, the Random Forests classifier performed the best with respect to performance measures such as recall, F1 score, and precision.","","978-1-6654-1490-6","10.1109/CCWC51732.2021.9375842","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9375842","Viacon Camera;Multilayer Perceptron;Kernel Support Vector Machine;K-nearest Neighbor;Prazen;Geronimo-Hardin-Massopust;Stochastic Gradient Descent;Decision Trees;Logistic Regression;Random Forests;Bagging","Technological innovation;Conferences;Wires;Support vector machine classification;Cameras;Regression tree analysis;Random forests","","1","","9","IEEE","17 Mar 2021","27-30 Jan. 2021","27-30 Jan. 2021","IEEE","IEEE Conferences"
"Selecting the Best Compiler Optimization by Adopting Natural Language Processing","H. Ahmed; M. Fahim Ul Haque; H. Raza Khan; G. Nadeem; K. Arshad; K. Assaleh; P. Cesar Santos","Department of Computer and Information Systems Engineering, NED University of Engineering and Technology, Karachi, Pakistan; Department of Telecommunications Engineering, NED University of Engineering and Technology, Karachi, Pakistan; Department of Engineering Sciences and Technology, Iqra University, Karachi, Pakistan; Department of Engineering Sciences and Technology, Iqra University, Karachi, Pakistan; Department of Electrical and Computer Engineering, College of Engineering and Information Technology, Ajman University, Ajman, United Arab Emirates; Department of Electrical and Computer Engineering, College of Engineering and Information Technology, Ajman University, Ajman, United Arab Emirates; Institute of Informatics, Federal University of Rio Grande do Sul, Porto Alegre, Brazil",IEEE Access,"9 Sep 2024","2024","12","","121700","121711","Compiler is a tool that converts the high-level language into assembly code after enabling relevant optimizations. The automatic selection of suitable optimizations from an ample optimization space is a non-trivial task mainly accomplished through hardware profiling and application-level features. These features are then passed through an intelligent algorithm to predict the desired optimizations. However, collecting these features requires executing the application beforehand, which involves high overheads. With the evolution of Natural Language Processing (NLP), the performance of an application can be solely predicted at compile time via source code analysis. There has been substantial work in source code analysis using NLP, but most of it is focused on offloading the computation to suitable devices or detecting code vulnerabilities. Therefore, it has yet to be used to identify the best optimization sequence for an application. Similarly, most works have focused on finding the best machine learning or deep learning algorithms, hence ignoring the other important phases of the NLP pipeline. This paper pioneers the use of NLP to predict the best set of optimizations for a given application at compile time. Furthermore, this paper uniquely studies the impact of four vectorization and seven regression techniques in predicting the application performance. For most applications, we show that tfidf vectorization and huber regression result in the best outcomes. On average, the proposed technique predicts the optimal optimization sequence with a performance drop of 18%, achieving a minimum drop of merely 0.5% compared to the actual best combination.","2169-3536","","10.1109/ACCESS.2024.3451516","Ajman University Internal Research(grant numbers:2023-IRG-ENIT-3); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10658977","Compiler;optimization;source code analysis;natural language processing;vectorization;regression","Codes;Optimization;Natural language processing;Source coding;Feature extraction;Hardware;Bayes methods;Program processors;Performance evaluation","","1","","45","CCBYNCND","29 Aug 2024","2024","","IEEE","IEEE Journals"
"Frame-Level Audio Hate Speech Detection for Kannada Language","A. V. Gubbi; G. Pandey; S. G. Koolagudi","Department of Computer Science and Engineering, National Institute of Technology Karnataka (NITK), Surathkal, Mangalore, India; Department of Computer Science and Engineering, National Institute of Technology Karnataka (NITK), Surathkal, Mangalore, India; Department of Computer Science and Engineering, National Institute of Technology Karnataka (NITK), Surathkal, Mangalore, India",2025 International Conference on Artificial Intelligence and Data Engineering (AIDE),"12 May 2025","2025","","","731","736","Detecting hate speech in audio has become increasingly challenging due to the increasing use of internet platforms and digital communication. Through this study, we develop an audio-based speech classifier to facilitate the detection of hate speech in the Kannada language. We present an approach to classifying hate speech at the frame level by extracting audio features such as Mel-Frequency Cepstral Coefficients (MFCCs), spectral bandwidth, spectral contrast, and chroma features. Furthermore, we present a custom Kannada hate speech dataset to address the scarcity of resources for hate speech studies in the Kannada language. We collected over 40 minutes of audio samples from YouTube and X (formerly Twitter). Our experiments show that an optimized XGBoost model achieved an accuracy of 73% on the custom dataset for frame-level classification. We also propose a cascading classifiers approach with two classifiers to exploit the locality of hate speech that improves the accuracy to 77%. Finally, we benchmark the proposed model against Logistic Regression, SVM, and XGBoost models.","","979-8-3315-2751-8","10.1109/AIDE64228.2025.10987338","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10987338","Hate Speech Detection;Machine Learning;Audio Classification;Cascading Classifiers;Kannada Dataset","Support vector machines;Logistic regression;Accuracy;Video on demand;Social networking (online);Hate speech;Machine learning;Feature extraction;Digital communication;Web sites","","","","15","IEEE","12 May 2025","6-7 Feb. 2025","6-7 Feb. 2025","IEEE","IEEE Conferences"
"Topic classification based on distributed document representation and latent topic information","P. Chen; W. Guo; Q. Wang; Y. Song","National Engineering Laboratory for Speech and Language Information Processing, University of Science and Technology of China, Hefei, China; National Engineering Laboratory for Speech and Language Information Processing, University of Science and Technology of China, Hefei, China; National Engineering Laboratory for Speech and Language Information Processing, University of Science and Technology of China, Hefei, China; National Engineering Laboratory for Speech and Language Information Processing, University of Science and Technology of China, Hefei, China",2017 Asia-Pacific Signal and Information Processing Association Annual Summit and Conference (APSIPA ASC),"8 Feb 2018","2017","","","614","617","The classical bag-of-words and probabilistic topic models are widely used on topic classification tasks. Recently, neural networks have achieved remarkable performance and formed the mainstream, due to their ability to encode distributed semantic features of documents based on word embeddings. To demonstrate the superiority of neural networks, this paper compares Latent Dirichlet Allocation (LDA) with Convolutional Neural Network (CNN), Recurrent Neural Network (RNN) and Recurrent Convolutional Neural Network (RCNN), which are the mainstream neural network architectures. Beyond this, we combine the latent topic information inferred by LDA and distributed semantic information learned by neural networks to generate a better document representation for topic classification. The experimental results show that the proposed representation outperforms individual systems and can achieve excellent performance on topic classification tasks.","","978-1-5386-1542-3","10.1109/APSIPA.2017.8282098","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8282098","","Task analysis;Neural networks;Semantics;Support vector machines;Logistics;Computer architecture;Feature extraction","","","","21","IEEE","8 Feb 2018","12-15 Dec. 2017","12-15 Dec. 2017","IEEE","IEEE Conferences"
